"","X","answer_id","token","lemma","POS","is_will_construction","is_goingTo_construction"
"17475",4015281,40894,"wo"," will"," MD",1,0
"17476",4015356,40903,"will"," will"," MD",1,0
"17477",4015369,40903,"will"," will"," MD",1,0
"17478",4015402,40906,"""ll"""," will"," MD",1,0
"17479",4015417,40906,"""ll"""," will"," MD",1,0
"17480",4015440,40906,"wo"," will"," MD",1,0
"17481",4015459,40906,"""ll"""," will"," MD",1,0
"17482",4015516,40906,"""ll"""," will"," MD",1,0
"17483",4015527,40906,"""ll"""," will"," MD",1,0
"17484",4015868,40932,"going"," go"," VBG",0,1
"17485",4015897,40932,"going"," go"," VBG",0,1
"17486",4015913,40932,"going"," go"," VBG",0,1
"17487",4015958,40932,"going"," go"," VBG",0,1
"17488",4016032,40933,"""ll"""," will"," MD",1,0
"17489",4016287,40944,"will"," will"," MD",1,0
"17490",4016301,40944,"will"," will"," MD",1,0
"17491",4016322,40944,"wo"," will"," MD",1,0
"17492",4016347,40944,"will"," will"," MD",1,0
"17493",4016362,40944,"""ll"""," will"," MD",1,0
"17494",4016380,40944,"""ll"""," will"," MD",1,0
"17495",4016399,40944,"""ll"""," will"," MD",1,0
"17496",4016417,40944,"""ll"""," will"," MD",1,0
"17497",4016430,40944,"""ll"""," will"," MD",1,0
"17498",4016445,40944,"wo"," will"," MD",1,0
"17499",4017445,40967,"will"," will"," MD",1,0
"17500",4018421,40987,"will"," will"," MD",1,0
"17501",4019479,41006,"will"," will"," MD",1,0
"17502",4019928,41015,"will"," will"," MD",1,0
"17503",4020058,41018,"will"," will"," MD",1,0
"17504",4020211,41018,"will"," will"," MD",1,0
"17505",4020273,41019,"will"," will"," MD",1,0
"17506",4022365,41027,"will"," will"," MD",1,0
"17507",4022585,41027,"will"," will"," MD",1,0
"17508",4022614,41028,"will"," will"," MD",1,0
"17509",4022650,41028,"will"," will"," MD",1,0
"17510",4022692,41028,"will"," will"," MD",1,0
"17511",4022705,41028,"will"," will"," MD",1,0
"17512",4022766,41028,"will"," will"," MD",1,0
"17513",4022782,41028,"will"," will"," MD",1,0
"17514",4022861,41028,"""ll"""," will"," MD",1,0
"17515",4022867,41028,"will"," will"," MD",1,0
"17516",4022998,41029,"will"," will"," MD",1,0
"17517",4024581,41038,"will"," will"," MD",1,0
"17518",4024710,41039,"will"," will"," MD",1,0
"17519",4024839,41040,"will"," will"," MD",1,0
"17520",4025345,41042,"will"," will"," MD",1,0
"17521",4025351,41042,"will"," will"," MD",1,0
"17522",4025536,41043,"will"," will"," MD",1,0
"17523",4025637,41043,"will"," will"," MD",1,0
"17524",4025645,41043,"will"," will"," MD",1,0
"17525",4025710,41043,"will"," will"," MD",1,0
"17526",4025787,41044,"will"," will"," MD",1,0
"17527",4025867,41044,"will"," will"," MD",1,0
"17528",4025877,41044,"will"," will"," MD",1,0
"17529",4025928,41044,"will"," will"," MD",1,0
"17530",4025935,41044,"will"," will"," MD",1,0
"17531",4025969,41044,"will"," will"," MD",1,0
"17532",4025978,41044,"will"," will"," MD",1,0
"17533",4026022,41044,"will"," will"," MD",1,0
"17534",4026051,41044,"will"," will"," MD",1,0
"17535",4026064,41044,"will"," will"," MD",1,0
"17536",4026277,41045,"will"," will"," MD",1,0
"17537",4026306,41045,"will"," will"," MD",1,0
"17538",4026373,41045,"will"," will"," MD",1,0
"17539",4026441,41045,"wo"," will"," MD",1,0
"17540",4026452,41045,"will"," will"," MD",1,0
"17541",4026581,41046,"will"," will"," MD",1,0
"17542",4026604,41046,"will"," will"," MD",1,0
"17543",4026671,41046,"will"," will"," MD",1,0
"17544",4026688,41046,"will"," will"," MD",1,0
"17545",4026922,41047,"will"," will"," MD",1,0
"17546",4027216,41048,"will"," will"," MD",1,0
"17547",4027601,41050,"will"," will"," MD",1,0
"17548",4027687,41050,"will"," will"," MD",1,0
"17549",4027998,41051,"will"," will"," MD",1,0
"17550",4028330,41052,"will"," will"," MD",1,0
"17551",4028628,41053,"will"," will"," MD",1,0
"17552",4028654,41053,"will"," will"," MD",1,0
"17553",4029264,41056,"will"," will"," MD",1,0
"17554",4029366,41056,"will"," will"," MD",1,0
"17555",4029385,41056,"will"," will"," MD",1,0
"17556",4029990,41057,"will"," will"," MD",1,0
"17557",4030017,41057,"will"," will"," MD",1,0
"17558",4031398,41061,"going"," go"," VBG",0,1
"17559",4031853,41062,"will"," will"," MD",1,0
"17560",4032249,41064,"will"," will"," MD",1,0
"17561",4032442,41065,"will"," will"," MD",1,0
"17562",4032450,41065,"""ll"""," will"," MD",1,0
"17563",4032454,41066,"""ll"""," will"," MD",1,0
"17564",4032462,41066,"""ll"""," will"," MD",1,0
"17565",4032469,41066,"""ll"""," will"," MD",1,0
"17566",4032936,41072,"will"," will"," MD",1,0
"17567",4033027,41074,"will"," will"," MD",1,0
"17568",4033034,41075,"will"," will"," MD",1,0
"17569",4033187,41080,"will"," will"," MD",1,0
"17570",4033232,41080,"will"," will"," MD",1,0
"17571",4033522,41083,"will"," will"," MD",1,0
"17572",4033528,41083,"will"," will"," MD",1,0
"17573",4033550,41084,"will"," will"," MD",1,0
"17574",4033563,41084,"will"," will"," MD",1,0
"17575",4033731,41086,"will"," will"," MD",1,0
"17576",4033898,41088,"""ll"""," will"," MD",1,0
"17577",4033985,41090,"will"," will"," MD",1,0
"17578",4034003,41090,"will"," will"," MD",1,0
"17579",4034008,41091,"will"," will"," MD",1,0
"17580",4034015,41091,"will"," will"," MD",1,0
"17581",4034457,41097,"will"," will"," MD",1,0
"17582",4035091,41106,"will"," will"," MD",1,0
"17583",4035097,41106,"will"," will"," MD",1,0
"17584",4035105,41106,"will"," will"," MD",1,0
"17585",4035125,41107,"will"," will"," MD",1,0
"17586",4035134,41107,"will"," will"," MD",1,0
"17587",4035189,41108,"will"," will"," MD",1,0
"17588",4035192,41109,"will"," will"," MD",1,0
"17589",4035198,41109,"will"," will"," MD",1,0
"17590",4035206,41109,"will"," will"," MD",1,0
"17591",4035226,41110,"will"," will"," MD",1,0
"17592",4035235,41110,"will"," will"," MD",1,0
"17593",4035290,41111,"will"," will"," MD",1,0
"17594",4035474,41113,"will"," will"," MD",1,0
"17595",4035482,41113,"will"," will"," MD",1,0
"17596",4035502,41114,"will"," will"," MD",1,0
"17597",4035586,41116,"will"," will"," MD",1,0
"17598",4035594,41116,"will"," will"," MD",1,0
"17599",4035614,41117,"will"," will"," MD",1,0
"17600",4035688,41119,"will"," will"," MD",1,0
"17601",4035693,41119,"will"," will"," MD",1,0
"17602",4035703,41119,"will"," will"," MD",1,0
"17603",4035726,41120,"will"," will"," MD",1,0
"17604",4035744,41120,"will"," will"," MD",1,0
"17605",4035999,41123,"will"," will"," MD",1,0
"17606",4036139,41125,"will"," will"," MD",1,0
"17607",4036143,41125,"will"," will"," MD",1,0
"17608",4036163,41125,"will"," will"," MD",1,0
"17609",4036178,41125,"will"," will"," MD",1,0
"17610",4036191,41126,"will"," will"," MD",1,0
"17611",4036205,41126,"will"," will"," MD",1,0
"17612",4036217,41126,"will"," will"," MD",1,0
"17613",4036225,41126,"will"," will"," MD",1,0
"17614",4036238,41126,"will"," will"," MD",1,0
"17615",4036297,41128,"will"," will"," MD",1,0
"17616",4036308,41128,"will"," will"," MD",1,0
"17617",4036314,41129,"will"," will"," MD",1,0
"17618",4036340,41129,"will"," will"," MD",1,0
"17619",4036348,41129,"will"," will"," MD",1,0
"17620",4036649,41133,"will"," will"," MD",1,0
"17621",4036950,41137,"will"," will"," MD",1,0
"17622",4037493,41141,"will"," will"," MD",1,0
"17623",4037559,41142,"will"," will"," MD",1,0
"17624",4037575,41142,"will"," will"," MD",1,0
"17625",4037607,41142,"will"," will"," MD",1,0
"17626",4037614,41142,"will"," will"," MD",1,0
"17627",4037637,41142,"will"," will"," MD",1,0
"17628",4037656,41142,"will"," will"," MD",1,0
"17629",4037670,41143,"will"," will"," MD",1,0
"17630",4037706,41143,"will"," will"," MD",1,0
"17631",4037720,41143,"will"," will"," MD",1,0
"17632",4037739,41144,"will"," will"," MD",1,0
"17633",4037763,41144,"will"," will"," MD",1,0
"17634",4037781,41144,"will"," will"," MD",1,0
"17635",4037934,41146,"will"," will"," MD",1,0
"17636",4038461,41152,"will"," will"," MD",1,0
"17637",4038476,41152,"will"," will"," MD",1,0
"17638",4038494,41152,"will"," will"," MD",1,0
"17639",4038515,41153,"will"," will"," MD",1,0
"17640",4038530,41153,"will"," will"," MD",1,0
"17641",4039096,41159,"will"," will"," MD",1,0
"17642",4039115,41160,"will"," will"," MD",1,0
"17643",4039342,41162,"will"," will"," MD",1,0
"17644",4039493,41162,"will"," will"," MD",1,0
"17645",4039500,41162,"will"," will"," MD",1,0
"17646",4039510,41162,"will"," will"," MD",1,0
"17647",4039519,41162,"will"," will"," MD",1,0
"17648",4039696,41162,"will"," will"," MD",1,0
"17649",4040979,41169,"will"," will"," MD",1,0
"17650",4041424,41170,"will"," will"," MD",1,0
"17651",4041498,41170,"will"," will"," MD",1,0
